Word,Count
*,3906
for,2598
/Users/Usman/Dropbox/Architectures,1947
Service-based,1947
the,1482
(,1425
),1272
,1146
labels:,1095
->,1089
^(,978
@param,870
|,810
$ANTLR,738
service,711
list,561
rule,438
token,438
$b),393
of,390
start,381
a,377
end,369
b=,366
to,345
do,338
before,336
sure,333
)*,333
leaving,333
operation,300
@return,300
name,279
expression,267
$c),252
},250
AST,249
c=,243
wildcard,219
REWRITE,219
elements:,219
$a),216
(a=,216
new,213
=,212
{,184
description,171
\retval,\,159
block,156
and,156
if,153
with,150
workflow,144
Return,138
endpoint,138
type,135
method,135
parameters,129
be,126
postfix_expression,120
opName,117
cache,117
result,117
@author,114
ID,111
:,111
message,111
min_max_expression,102
$a,102
statement,102
Set,102
node,102
MINUS,102
id,102
PLUS,99
Constructor,99
EQUAL_OP,99
public,97
$relational_expression,96
GML,90
parameter,90
relational_expression,90
;,87
value,87
+,85
from,84
')',84
'(',84
multiplicative_expression,84
return,81
unary_expression,81
b,81
file,78
invoked,78
QoS,76
Yifan,75
Ruan,75
is,75
.,75
in,72
$multiplicative_expression,72
composite,66
not,66
a=,63
additive_expression,63
attributes,63
params,63
services,60
object,60
retval,60
shift_expression,60
this,60
(ry222ad@student.lnu.se),60
cost,57
\','\,57
GT_EQUAL_OP,54
REMAINDER,54
$postfix_expression),54
RIGHT_SHIFT,54
MAX,54
specific,54
LEFT_SHIFT,54
PRIME,54
DIVISION,54
LT,54
private,54
MULT,54
time,53
max,51
arguments,51
LT_EQUAL_OP,51
String,51
NOT_EQUAL_OP,51
MIN,51
GT,51
has,51
$additive_expression,48
register,48
//,48
$d),48
'.',48
$min_max_expression,48
$shift_expression,48
$equality_expression,48
Get,48
c,48
class,45
can,45
request,45
\b,\,45
HTML,45
values,45
profile,45
This,45
TERNARY_OP,45
'--',42
response,42
NOT,42
true,42
OR,42
$postfix_expression,42
LOGIC_OR,42
'++',42
Remove,42
d=,42
serviceName,42
AND,42
or,42
will,42
@Override,42
STMNT_LIST,39
extends,39
LOGIC_AND,39
requirements,39
BITWISE_EXCL_OR,39
executing,39
BITWISE_INCL_OR,39
serviceType,39
an,39
AMP,39
label,39
IMPLY,39
Append,39
serviceEndpoint,39
NEGATE,39
throw,39
(b=,39
source,39
static,37
void,37
exception,37
'\\r',36
'WHILE',36
task,36
and_expression,36
entity,36
used,36
string,36
messages,36
equality_expression,36
'\\n',36
inclusive_or_expression,36
requirement,36
which,36
qosRequirement,36
false,36
logical_and_expression,36
)+,36
'while',36
or_expression,36
Task,33
nodes,33
data,33
bitwise_and_expression,33
its,33
table,33
'else',33
double,33
Object,33
timeout,33
'ELSE',33
never,33
attribute,33
otherwise,33
map,33
imply_expression,33
by,33
exclusive_or_expression,33
set,33
use,33
current,33
expression_list,30
\c,\,30
'[',30
TODO,30
The,30
==,30
names,30
initial,30
Auto-generated,30
that,30
$b,30
variable,30
']',30
\"\\,28
$equality_expression),27
M,27
If,27
header,27
'9',27
Responsible,27
':',27
after,27
contents,27
one,27
stub,27
xml,27
size,27
configuration,27
'0',27
descriptions,27
Usman,27
probe,27
assignment_operator,24
same,24
edge,24
their,24
'a',24
';',24
instanceof,24
Check,24
unique,24
buffer,24
@email,24
$e),24
incoming,24
'A',24
Graph,24
instance,24
METHOD_REF[$operationName.text],24
int,24
-,23
been,21
delay,21
create,21
'PARALLEL',21
case,21
operationName,21
'do',21
ARRAY_ACCESS,21
custom,21
'parallel',21
property=,21
target,21
params);,21
given,21
operationName=,21
'START',21
e=,21
'RETURN',21
'return',21
invoke,21
'DO',21
'FOR',21
'for',21
multiple,21
break;,21
Initialize,21
'if',21
Expression,21
'IF',21
'start',21
Update,21
any,21
\operationName,\,21
(~,18
TRUE,18
ASSIGNMENT_OP,18
$logical_or_expression,18
only,18
Override,18
engine,18
null),18
$inclusive_or_expression,18
effect,18
e+=,18
IF,18
definition,18
catch,18
then,18
provider,18
available,18
$o,18
e,18
BinaryOp,18
found,18
POST_INCREMENT,18
operations,18
POST_DECREMENT,18
primary_expression,18
$or_expression,18
INT,18
Definition,18
Iftikhar,18
as,18
x+=,18
$exclusive_or_expression,18
FALSE,18
PRE_INCREMENT,18
Returns,18
Add,18
invocation,18
\successfully,\,18
$logical_and_expression,18
$bitwise_and_expression,18
NULL,18
WHILE,18
registry,18
QUALIFIED_ACCESS[$property.text],18
logical_or_expression,18
event,18
$imply_expression,18
properties,18
TODO:,18
PRE_DECREMENT,18
ternary_expression,18
Invoke,18
$and_expression,18
});,18
de,17
between,16
'*=',15
'-=',15
destination,15
$x)*,15
reply,15
edges,15
all,15
ratio,15
(o=,15
steps,15
client,15
'/=',15
registerId,15
opName);,15
registerID,15
!=,15
'_',15
'Z',15
'=',15
'{',15
external,15
input,15
License,15
try,15
default,15
'&=',15
threads,15
local,15
'|=',15
responseTime,15
'>>=',15
compositeService,15
removed,15
