Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,336,110797,81072,51428,10056,17227,68,12498,57091,204,489
C:\Users\great\Desktop\TAS-ActivFORMS,336,110797,81072,51428,10056,17227,68,12498,57091,204,489
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS,336,110797,81072,51428,10056,17227,68,12498,57091,204,489
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform,60,29441,21718,12988,2948,4154,12,3569,17736,32,46
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src,60,29441,21718,12988,2948,4154,12,3569,17736,32,46
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\profile,5,405,200,153,22,75,0,130,415,12,12
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service,49,26697,20055,11836,2684,3690,12,2952,15395,20,34
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\adaptation,9,490,172,122,12,76,0,242,953,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\adaptation\effectors,4,265,99,70,5,41,0,125,474,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\adaptation\probes,5,225,73,52,7,35,0,117,479,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\adaptation\probes\interfaces,2,81,15,13,0,16,0,50,316,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\atomic,3,201,108,76,17,26,0,67,349,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\auxiliary,19,1336,672,491,100,192,1,472,1672,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\client,1,105,65,51,4,13,0,27,89,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\composite,3,739,422,295,91,87,0,230,1064,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\messagingservice,2,201,93,66,11,36,0,72,237,0,0
